Name,Old_price,New_price,Discount,Rating
"Sanyo 32” Smart  TV+Netflix,Youtube","₦ 160,000","₦ 155,000",3%,4.7 out of 5
Djack Powerful Home Theater DJ-664 With FREE DVD Player,"₦ 135,000","₦ 125,000",7%,3.5 out of 5
"10 Inch LED RingLight With Tripod For Live Videos, Makeup","₦ 33,000","₦ 15,999",52%,4.5 out of 5
Andoer Outdoor Small DSLR Digital Camera Video Backpack,"₦ 26,480","₦ 11,990",55%,4.4 out of 5
"Nexus 55"" Inches UHD 4K Smart TV (NX-TV55 U4K624B) - Black + 1 Year Warranty", ,"₦ 452,050", ,4 out of 5
Hisense Smart Tv Replacement Remote Control,"₦ 5,000","₦ 3,800",24%,4.1 out of 5
Anycast - Smartphone To TV Connector - WiFi Display Receiver - HDMI Dongle,"₦ 28,000","₦ 11,999",57%,4.6 out of 5
Zealot S67 Boombox Megabass Xtreme Bluetooth Speaker, ,"₦ 85,900", ,4.6 out of 5
Perfect Bluetooth Home Theater System,"₦ 100,000","₦ 78,000",22%,4.3 out of 5
Laminator SL200 Cold And Hot Laminator,"₦ 33,520","₦ 25,850",23%,3 out of 5
Portable Secret Hidden Tiny Spy Camera Mini Digital Camera Cctv Wireless,"₦ 28,000","₦ 14,999",46%,3.3 out of 5
LG Smart Tv Magic Replacement Remote Controller,"₦ 35,000","₦ 30,000",14%,4.7 out of 5
Skyrun 10000 MAh Pro Fast Charging Power-Bank (22.5W) - White,"₦ 30,645","₦ 13,990",54%,4.2 out of 5
Djack Heavy Duty 3.1Ch Bluetooth Home Theatre Sound System AK-2803,"₦ 79,000","₦ 59,800",24%,4.4 out of 5
2022 Visuo WiFi 4K HD Dual Camera Drone With 2 BATTERIES 50x Zoom Optical Flow Quadcopter, ,"₦ 180,000", ,4 out of 5
LG 2.1ChBluetooth Audio XBOOM Sound System - AUD72B,"₦ 104,999","₦ 86,500",18%,4.5 out of 5
"Samsonic 32"" Inches Full HD Smart Android TV + Free Wall Hanger","₦ 180,000","₦ 152,900",15%,4 out of 5
Jbl Charge 5 Portable Waterproof Wireless Bluetooth Speaker, ,"₦ 222,000", ,4.5 out of 5
D-Marc Quality Fridge Guard 13Amp +TV/Audio-Guard 13Amp+ AC Guard,"₦ 26,000","₦ 20,700",20%,4.3 out of 5
"Samsonic 43"" Inches  Smart LED TV  Samsonic","₦ 350,000","₦ 238,900",32%,4.5 out of 5
LG 2.1ChBluetooth Audio XBOOM Sound System - AUD72B,"₦ 104,999","₦ 86,500",18%,4.5 out of 5
2022 Visuo WiFi 4K HD Dual Camera Drone With 2 BATTERIES 50x Zoom Optical Flow Quadcopter, ,"₦ 180,000", ,4 out of 5
"Samsonic 32"" Inches Full HD Smart Android TV + Free Wall Hanger","₦ 180,000","₦ 152,900",15%,4 out of 5
Jbl Charge 5 Portable Waterproof Wireless Bluetooth Speaker, ,"₦ 222,000", ,4.5 out of 5
