Name,Old_price,New_price,Discount,Rating
VR SHINECON 3D Cinema Screen Size VR Headset/Virtual Reality Glasses For All Phone + FREE EARPHONE,"₦ 14,500","₦ 11,300",22%,3.8 out of 5
A1 1Subwoofer Mini HomeTheatre Bluetooth FM Recharge Speaker,"₦ 120,000","₦ 25,986",78%,4.2 out of 5
Syinix Replacement Smart Remote Control For Syinix Tv, ,"₦ 4,700", ,3.3 out of 5
Star Master Rotating Projection Lamp Light, ,"₦ 8,539", ,3.4 out of 5
G13 VR Glasses Headset Smart Glasses For 5-7 Inches Phones,"₦ 45,000","₦ 30,000",33%, 
P9 Headphone Wireless Bluetooth Stereo Foldable - White,"₦ 15,000","₦ 8,000",47%,5 out of 5
Sonix 55-Inch 4k UHD Smart TV + Free Wall Bracket,"₦ 500,000","₦ 389,850",22%,3.4 out of 5
"Worldwide Universal Travel Socket Adapter,Power Socket,USB Charger,Socket Converter","₦ 23,800","₦ 15,200",36%,4 out of 5
2NLF PTZ Wifi IP Camera LED Bulb Security Surveillance Outdoor,"₦ 27,168","₦ 23,379",14%, 
Rechargeable LED Cube Light With Clip, ,"₦ 16,000", , 
Super X - Bass Bluetooth Home Theatre System 3.1 Speakers,"₦ 51,999","₦ 43,850",16%, 
NEW X5 Mini Wireless HiddenCamera HD1080P Compact Wireless WIFI Camera with Cyclic Recording Function Suitable for Outdoor Camping at Home-Requires power connection,"₦ 13,120","₦ 6,560",50%, 
C15 Solid Rechargeable Portable C15 Bluetooth Speaker,"₦ 15,000","₦ 12,450",17%,5 out of 5
"itel High Power Soundbar Bluetooth, AUX & USB JET BLACK","₦ 78,000","₦ 75,500",3%,4.3 out of 5
LG Xboom Bluetooth HiFi Home Audio System,"₦ 1,107,900","₦ 98,290",91%,5 out of 5
Camera Lens Shield Protector For IPhone 15 14 13 12 11 Pro Max(black),"₦ 4,000","₦ 2,850 - ₦ 2,900",29%,3 out of 5
"Sonix 43"" INCHES SMART FULL HD LED TV + WALL HANGER [Classy]","₦ 290,000","₦ 223,850",23%,4.1 out of 5
Universal Home Theatre Sounds System 3.1,"₦ 95,000","₦ 44,990",53%,4 out of 5
1080p HD Camera Spy Eyeglasses Recorder,"₦ 150,000","₦ 144,000",4%,5 out of 5
Hisense 43″ Full High Definition LED SMART TV With WiFi - 43A4G,"₦ 399,999","₦ 334,999",16%,4.5 out of 5
"Deboss Life Style XBOOM Soundbar: Bluetooth, AUX & USB- PMPO 800W","₦ 130,000","₦ 110,000",15%,3.9 out of 5
1080P Mini WiFi Spy Digital Clock Ip Cctv Camera,"₦ 50,000","₦ 41,000",18%,3.9 out of 5
Floor TV Stand With LED Lighting- Black-White, ,"₦ 53,000", ,2 out of 5
"Amani 43""INCHES SMART ANDROID UHD TV 4K+ FREE GIFT","₦ 290,000","₦ 217,400",25%,4 out of 5
Quality Phone Holder Suction Silicone Surface Adhesive,"₦ 3,800","₦ 1,900",50%, 
Hisense 43″ Full High Definition LED SMART TV With WiFi - 43,"₦ 789,000","₦ 341,900",57%, 
Desktop Headphone Stand/Headset Holder With Phone Holder,"₦ 12,900","₦ 7,500",42%,4.7 out of 5
Rohs 14 Inches (LJJ36) Led Selfie Light - With Tripod Stand,"₦ 97,000","₦ 19,000",80%,4.7 out of 5
Universal Travel Adapter With USB Port - 1 Piece,"₦ 12,000","₦ 6,000",50%,4.5 out of 5
TV HANGER 32 INCHES,"₦ 5,000","₦ 3,500",30%,4.4 out of 5
Fix Strap Smartwatch Band Smartwatch Strap Watch Belt, ,"₦ 3,000", ,4 out of 5
itel HEAVY DUTY BOOM BLUETOOTH MINI SPEAKER SYSTEM:,"₦ 70,000","₦ 40,999",41%,4 out of 5
Cctv Bulb Wireless CCTV Camera System Wifi Cam,"₦ 30,000","₦ 29,700",1%,5 out of 5
"Amani 55""INCHES 4k UHD ANDROID SMART LED TV","₦ 1,389,041","₦ 387,831",72%,3.9 out of 5
Djack Perfect Bluetooth Home Theater Sound Good,"₦ 120,500","₦ 80,850",33%,4.3 out of 5
Anycast Miracast HDMI M9 PLUS Wireless HDMI TV Same Screen Receiver Fit For Apple Tv Android Tv Mobile Screen Cast, ,"₦ 11,999", ,3.9 out of 5
Wireless Music MI Wireless Bluetooth Earpod_Earphones Wireless Charging Box,"₦ 10,000","₦ 7,800",22%,3.6 out of 5
"D9 Smart TV Box, Smart TV Set Top Box, 4K HD, 2G + 16G","₦ 42,000","₦ 31,900",24%,3.7 out of 5
2 Pieces Of Photography Studio Soft Box Lighting Kit/Diffuser/ Camera Light Box For Pictures & Video Shooting +Tall Light Stand,"₦ 39,000","₦ 34,800",11%,4.5 out of 5
100% Genuine Original Smart Android Tv Box MXQ PRO 5G 4K Ultra HD Video+HDMI Cable,"₦ 49,000","₦ 28,990",41%,5 out of 5
Plastic Remote Control Stand Shelf Rack Holder,"₦ 6,500","₦ 4,995",23%,3.5 out of 5
PowMr 30A MPPT Solar Charger Controller 12V 24V 75Vdc,"₦ 98,000","₦ 59,010",40%,4.3 out of 5
"Hisense 32” Inch Full HD Led Television + Free Tv Hange, PROMO PRICE","₦ 198,000","₦ 174,499",12%,4.5 out of 5
Vlogging Kit/Video Maker Kit +Mic+Tripod+Holder /Ring Light,"₦ 18,700","₦ 13,000",30%,5 out of 5
SML Professional SML LED LIGHT 416,"₦ 60,000","₦ 30,000",50%,5 out of 5
C15 Solid Rechargeable Portable C15 Bluetooth Speaker,"₦ 15,000","₦ 12,450",17%,5 out of 5
itel 4 Sockets Extension Box With 3 USB Ports - ISU-1421WU,"₦ 10,000","₦ 9,990",1%,4.9 out of 5
Hisense 32''Smart TV + Netflix,"₦ 291,000","₦ 219,990",24%,4.5 out of 5
500w Solar Power Inverter, ,"₦ 21,300", ,4.3 out of 5
Type Z Shplus Type C Charger 2in1 Micro USB Fast Typec PD Charger,"₦ 8,000","₦ 6,500",19%,3.6 out of 5
XIAOMI MI TV STICK FHD, ,"₦ 70,500", ,4.5 out of 5
Jbl Boombox 3 Wireless Bluetooth Speaker + FREE 2ND GEN WITH SCREEN ON CHARGING CASE,"₦ 150,000 - ₦ 250,000","₦ 130,000",48%,3.5 out of 5
Super X Bass Bluetooth Home Theatre System 3.1 + Free DVD Player,"₦ 71,999","₦ 60,950",15%,4.4 out of 5
"Home Theater Audio System, Bluetooth Speaker, 4D Surround Soundbar, Computer Speaker","₦ 55,860","₦ 27,930",50%,1 out of 5
Bluetooth Wireless Headset Hanging Neck Exercise Blue,"₦ 7,999","₦ 4,999",38%,3.9 out of 5
"Hisense 32'' Smart TV + Netflix,Youtube &DSTV APP 12 Months Warranty","₦ 312,000","₦ 241,200",23%,4.8 out of 5
Mini Wireless WiFi Spy Security Camera, ,"₦ 12,500", , 
7.4V Lithium Ion Battery-1pcs,"₦ 15,000","₦ 4,999",67%,5 out of 5
Adjustable Metal Tripod Light Stand Max. Height 2M/6.6ft, ,"₦ 7,200", ,4.5 out of 5
P9 Bluetooth Wireless Stereo OverEar Foldable Headset,"₦ 14,000","₦ 6,600",53%,4.3 out of 5
D18 Smart Watch Men Women Smart Watch Sports Tracker Pedometer for Android IOS,"₦ 11,628","₦ 6,809",41%,4 out of 5
Li-ion 3.7V  6800mAh Rechargeable Battery -2 Pieces,"₦ 16,000","₦ 3,999",75%,3.3 out of 5
Jbl Tune 510BT Wireless On-Ear Headphone - Black,"₦ 80,999","₦ 61,999",23%,4.5 out of 5
Power Pod Bluetooth Ear Wireless Earbuds Headphones Earpiece Stereo Pod Bass Earphones (Airpro),"₦ 11,000","₦ 9,950",10%,5 out of 5
"Hisense 240W 2.1CH Bluetooth Audio Sound Bar, - HS 2100","₦ 195,000","₦ 172,800",11%,4.8 out of 5
Infinity 20Inch Infinity Tv Full Hdfree Hanger,"₦ 77,900 - ₦ 87,900","₦ 63,899 - ₦ 63,909",27%,3.6 out of 5
Cctv Wireless Light Bulb Ip Camera Wifi 360 Degree Camera,"₦ 35,000","₦ 20,000",43%,3.9 out of 5
Sony CR2032  Lithium Battery 3v - 1 Pack, ,"₦ 3,200", ,4.5 out of 5
Duracell Supreme Rechargeable AA 2650mAh Battery,"₦ 10,000","₦ 4,299",57%,3.7 out of 5
Multi Purpose Auxiliary Audio Cable 3.5mm Jack Cord Male To Male, ,"₦ 3,500", ,4.4 out of 5
Sony CR2032 Battery 3v Lithium Battery - 1 Pack, ,"₦ 2,950", ,4.3 out of 5
3-in-1 Mobile Phone Clip Lens Fisheye Lens 0.67x Wide Angle Zoom Macro Lens For Smartphone,"₦ 10,000","₦ 6,999",30%, 
X-BASS HOME THEATERS  SYSTEM, ,"₦ 80,000", ,3 out of 5
Wireless On-Ear Headset Headphone With Microphone HiFi BT5,"₦ 33,600","₦ 13,800",59%,4.5 out of 5
For Samsung Galaxy Buds Live Earphone Protective Case,"₦ 4,900","₦ 2,900",41%,5 out of 5
Solid Rechargeable Portable C15 Bluetooth Speaker,"₦ 20,000","₦ 12,500",38%,4.4 out of 5
WIRELESS BLUETOOTH SPEAKER HOME THEATER,"₦ 75,000","₦ 65,500",13%,3 out of 5
Zealot 80W Bass Bluetooth Speaker With 16000mAh Battery S97,"₦ 155,000","₦ 122,500",21%,5 out of 5
P9 Headphone Wireless Bluetooth Stereo Foldable - White,"₦ 13,500","₦ 7,390",45%,4.3 out of 5
Resizable Extendable Floor TV Stand- White, ,"₦ 39,000", ,3 out of 5
4k1080p 30M High Speed HDTV CABLE,"₦ 24,000","₦ 14,999",38%,4.6 out of 5
DURACELL RECHARGEABLE BATTERY AND CHARGER, ,"₦ 9,000", ,3.7 out of 5
New Remote Control Organizer Arrangements Caddy Stand,"₦ 6,000","₦ 4,000",33%,3.8 out of 5
LG Remote Control - Black, ,"₦ 2,700", ,4.6 out of 5
Wireless Music MI Wireless Bluetooth Earpod_Earphones Wireless Charging Box,"₦ 8,000","₦ 7,800",3%,3.4 out of 5
Dstv LATEST HD Decoder Remote (As Seen As In The Picture),"₦ 2,780","₦ 2,500",10%,4.3 out of 5
Strong 5050 Free To Air Satellite HD RECIEVER + IP,"₦ 29,000","₦ 24,500",16%,3.6 out of 5
Camera Lens Shield Protector For IPhone 15 14 13 12 11 Pro Max(black),"₦ 4,000","₦ 2,850 - ₦ 2,900",29%,3 out of 5
Qasa Automatic Voltage Regulator Digital Stabilizer 2000VA,"₦ 60,000","₦ 57,000",5%,4.2 out of 5
Blue Gate 100% Genuine UPS 653KVA Backup. (UK Spec), ,"₦ 54,000", ,4.1 out of 5
Baofeng 2 Pcs Baofeng Radio BF-888S Dual Band High-Power Walkie Talkie,"₦ 38,800","₦ 23,800",39%,4.6 out of 5
"Samsonic 32'' Inch Smart Android TV With Netflix,Youtube, + Hanger","₦ 185,000","₦ 152,900",17%,4.3 out of 5
Lightning To 3.5MM Digital Audio IPhone Jack Aux Cable Mp3,"₦ 4,500","₦ 3,500",22%,4 out of 5
Foldable Travelling Steam Pressing Iron, ,"₦ 9,999", ,4 out of 5
Airtel Flat Airtel Android Smart TV Box With Inbuilt Router And Unlimited Browsing For A Month - Latest Version,"₦ 45,000","₦ 40,000",11%,5 out of 5
Black Pro 3 Touch Headphones Lifeproof Waterproof Headphones for Android and IOS,"₦ 11,644","₦ 6,396",45%,3.5 out of 5
Multicolor 10PCS Glass Kitchen Cleaning Dish Cloth,"₦ 9,238","₦ 4,991",46%,5 out of 5
Multicolor 10PCS Glass Kitchen Cleaning Dish Cloth,"₦ 9,238","₦ 4,991",46%,5 out of 5
100W Photo/Studio Video Light Kit With Softbox & Tripod,"₦ 104,500","₦ 93,000",11%,5 out of 5
Zealot 100W Super Bass Bluetooth Speaker With 24000mAh Battery  S78,"₦ 185,000","₦ 173,999",6%,5 out of 5
Anker Soundcore Q20i Wireless Noise Cancelling Headphones, ,"₦ 67,900", ,5 out of 5
Floating Wall Mount Shelf And Media Storage, ,"₦ 27,950", ,3.7 out of 5
Black FD68 Touch Smart Sports Watch,"₦ 12,464","₦ 8,856",29%,5 out of 5
Super Bass 3.1ch Bluetooth Home Theatre System, ,"₦ 43,990", ,4.1 out of 5
Big 10 Inches Automatic Led Ringlight With Stand And A Phone,"₦ 13,000","₦ 11,999",8%,4 out of 5
T55 SMART WATCH T55 PROMAX SMART WRISTWATCH WITH EARPODS FOR IPHONE & ANDROID,"₦ 40,000","₦ 17,000",58%, 
"Solar Powered Camera, Wireless Outdoor Night Vision Camera","₦ 94,286","₦ 85,500",9%,5 out of 5
Wired Headphones Earbuds For Iphone 7 8 X XS XR 11 12 13 IOS Original Earphone Iphone EARPIECE Headset, ,"₦ 3,000", ,3.8 out of 5
VIC 2m Power Strip Plug AC Outlets Multitap Line Filter Socket Extension Cord Electrical With USB Charger,"₦ 28,780","₦ 8,400",71%, 
"Amani 55"" 4k UHD ANDROID LED TV+FREE WALL BRACKET-R","₦ 1,250,000","₦ 389,490",69%,4.9 out of 5
Sony Cr2032 Battery 3v Lithium Battery - 1 Pack, ,"₦ 3,000", ,4.3 out of 5
Led M12 5W Bi-color Photography Lamp Pocket LED Light, ,"₦ 20,000", , 
"Mi+ 2.1 Power Life Style Sound Bar: Bluetooth, AUX & USB","₦ 105,000","₦ 64,950",38%,4.2 out of 5
Solar Rotational Solar Powered 4G Simcard PTZ CCTV Camera,"₦ 280,000","₦ 120,000",57%,4.3 out of 5
Qasa Rechargeable Fan Replacement Battery 6V 4.5Ah (Pin Type),"₦ 19,999","₦ 8,999",55%,4 out of 5
Amani 43”inch Ultra HD Smart TV+Netflix.YouTube Free Gift Inside,"₦ 1,297,800","₦ 224,990",83%,4.2 out of 5
Rotational Solar Powered 4G Intelligent PTZ CCTV Wireless Camera,"₦ 200,000","₦ 120,000",40%,4.4 out of 5
Heavy Duty 3.1Ch Bluetooth Home Theatre Sound System, ,"₦ 50,900", ,4.3 out of 5
TWSs Headphones Bluetooth 5.0 Wireless Earphones Earbud,"₦ 7,237","₦ 3,912",46%,3 out of 5
Camera Action Canon EOS 600D DSLR Camera With 18-55mm Lens,"₦ 500,000","₦ 480,000",4%,4.5 out of 5
100% Genuine Original Smart Android Tv Box MXQ PRO 5G 4K Ultra HD Video+HDMI Cable,"₦ 55,000","₦ 29,950",46%,4 out of 5
A11 Rechargable Mini Home Theater Bluetooth Fm Speaker,"₦ 29,000","₦ 24,900",14%,4.4 out of 5
10 Inch 26cm Fill Light Bracket LED Ring Light Tripod,"₦ 20,000","₦ 11,950",40%,3.7 out of 5
DZ928 Safety Multipurpose Shocker With Flashlight,"₦ 20,000","₦ 18,000",10%,5 out of 5
1000w Solar Power Inverter With 10A Inbuilt Battry Charger, ,"₦ 39,500", ,5 out of 5
Samsung 45W Super Fast Charge Adaptive Charging For Note 20 Ultra S20 S21 S22 S23 Ultra Type-C To Type-C,"₦ 25,000","₦ 6,000 - ₦ 6,500",76%,4.4 out of 5
Portable Multifunctional Alarm Clock Bluetooth Speaker,"₦ 19,350","₦ 17,900",7%,3 out of 5
Smart Wireless Bluetooth Headset With Microphone,"₦ 25,760","₦ 15,200",41%,3.9 out of 5
Djack Bluetooth Home Theater System Promo Sale,"₦ 90,000","₦ 80,700",10%,4 out of 5
"Hisense 43''Smart TV With Bluetooth,Netflix,Youtube","₦ 495,000","₦ 339,400",31%,4.5 out of 5
PowMr 3KVA 80A MPPT Hybrid Solar Inverter 24V 80Voc 230vac,"₦ 420,000","₦ 279,799",33%, 
Universal Power Adapter Converter Travel Socket Charger Plug, ,"₦ 4,500", ,4.5 out of 5
1080P CCTV Camera 4Indoor+4Outdoor Camera + 8Channel DVR,"₦ 270,000","₦ 150,000",44%,4.5 out of 5
Polystar 5.1CH Bluetooth Tallboy Home Theatre -PV- HT735T4,"₦ 100,000","₦ 94,000",6%,3.9 out of 5
Hifinit Smart Projector Support 4K Android WiFi Smart Phone,"₦ 138,000","₦ 115,950",16%,1 out of 5
Samsung 45W Super Fast Charge Adaptive Charging For Note 20 Ultra S20 S21 S22 S23 Ultra Type-C To Type-C,"₦ 15,000","₦ 5,500",63%,4.2 out of 5
Mi+ 2.1Ch Audio Sound Bar With Wireless Subwoofer,"₦ 99,000","₦ 64,990",34%,4.2 out of 5
Zealot 80W Super Bass Bluetooth Speaker With 16000mAh Battery S97,"₦ 160,000","₦ 125,000",22%,5 out of 5
Powerful Bluetooth Speaker + Free Loud Microphone, ,"₦ 28,000", ,4 out of 5
Portable Projector Mini LED Projectors Full 3D HD 1080P HDMI USB, ,"₦ 50,000", ,3.5 out of 5
"5 Metre HDMI Cable For TV, Computer 5m", ,"₦ 3,750", ,4.3 out of 5
Electric Power Board 5-outlets Extension Socket 3-usb,"₦ 10,000","₦ 6,500",35%,5 out of 5
Zealot 80W Super Bass Bluetooth Speaker With 16000mAh Battery  S87,"₦ 200,000","₦ 120,000",40%,5 out of 5
New Black Smart Watch X7 Multifunction Watch for IOS Android,"₦ 15,908","₦ 9,184",42%,5 out of 5
Invisible Ink Pen (Silver),"₦ 6,800","₦ 3,860",43%,5 out of 5
TWS Q80 Wireless Bluetooth Headphones 5.3 Headphones Bone Conduction Headphones Auricular Headphones Sports Earbuds,"₦ 18,054","₦ 10,098",44%,4.3 out of 5
"Wireless Bluetooth 5.0 Speaker, Home Theater Speaker - Black","₦ 42,500","₦ 31,900",25%,5 out of 5
LG Replacement Remote Control DVD And Home Theater, ,"₦ 3,400", ,4.9 out of 5
Cctv Wireless CCTV Security Camera Wifi HD 1080P Wirless Outdoor IP Camera With Rechargeable Battery Wirwless (v380),"₦ 47,000","₦ 42,995",9%,4.3 out of 5
USB Dimmable LEDs Selfie Fill Ringlight 10inches Brightness, ,"₦ 6,500", ,4.1 out of 5
Samsung 45W Super Fast Charge Adaptive Charging For Note 20 Ultra S20 S21 S22 S23 Ultra Type-C To Type-C,"₦ 25,000","₦ 5,700 - ₦ 7,000",77%,4 out of 5
Magic Trick - Invisible Ink UV Light Pen(Silver),"₦ 11,916","₦ 5,960",50%,4 out of 5
A-Grade LiFePO4 12V 100Ah Battery Pack With LCD,"₦ 388,199","₦ 285,188",27%,3 out of 5
Universal Power Adapter Converter Travel Socket Charger Plug, ,"₦ 3,780", ,4.6 out of 5
3MP PTZ Wifi IP Mini Camera E27 Bulb Security Surveillance Smart Home Monitoring CCTV LED IR Light,"₦ 78,000","₦ 37,999",51%,4.3 out of 5
1000w Power Inverter With Inbuilt Charger,"₦ 39,800","₦ 38,700",3%,4.4 out of 5
Wall Bracket For TV Shelf-  32-80'’ TV Hanger, ,"₦ 4,990", ,4.3 out of 5
Infinity 20 Inch Full Hd Led Tv Free Wall Hanger Hdmi Wirepromo,"₦ 77,000 - ₦ 87,000","₦ 63,999",26%,3.9 out of 5
B39 Cute Cat Ears Bluetooth Wireless Headphone,"₦ 14,000","₦ 9,900",29%, 
Wifi Display TV HDMI AnyCast M9 Plus Dongle Wireless Receiver, ,"₦ 9,999", ,4 out of 5
Vlogging Kit LED Video Light  Phone Holder With Microphone For YouTube/Tiktok/Facebook/Camera,"₦ 36,000","₦ 14,990",58%,5 out of 5
Djack DJ 402 BLUETOOTH Home Theather System,"₦ 129,040","₦ 78,890",39%,4.4 out of 5
Zealot S79 Heavy Bass Bluetooth Speaker 100W,"₦ 178,000","₦ 149,500",16%,4.8 out of 5
Nikon D5000 DSLR Camera With 18-55mm Lens,"₦ 300,000","₦ 290,000",3%,4 out of 5
Original Smart Android Tv Box MXQ PRO  4K Ultra HD ± Keyboard, ,"₦ 43,000", ,4.1 out of 5
TV Console Floating Wall Shelve For 42 Inches TV, ,"₦ 42,000", ,4.3 out of 5
FlyPro Drone With Dual Camera And Obstacle Avoidance, ,"₦ 105,000", ,4 out of 5
Lightning To 3.5MM Digital Audio IPhone Jack,"₦ 4,500","₦ 3,500",22%,3.9 out of 5
Android Smart TV Stick With Classic Games 8K UHD Plug And Play,"₦ 65,000","₦ 46,290",29%, 
Wireless Ip Cctv Bulb Camera Wi-Fi Cctv Camera,"₦ 32,000","₦ 14,000",56%, 
Qasa Stabilizer- 5000VA Wall Mount For AC- 3HP,"₦ 179,000","₦ 140,000",22%,4.7 out of 5
Rohs 14 Inches (LJJ36) Led Selfie Light - With Tripod Stand,"₦ 35,000","₦ 18,500",47%,4.8 out of 5
Q96 L2 Android 10 TV Box - 8GB RAM + 128GB ROM 4K HDR 5G,"₦ 49,000","₦ 29,500",40%, 
Hisense 200W Audio Soundbar With Wireless Subwoofer + Wall Bracket ,"₦ 229,999","₦ 209,999",9%,4.8 out of 5
LG XBOOM (LK72B) - Black,"₦ 152,000","₦ 95,200",37%,5 out of 5
P9 Wireless Bluetooth Headset Headphone-Black,"₦ 14,000","₦ 8,900",36%, 
Indoor TV Antenna With Amplifier Satellite Digital Freeview,"₦ 16,699","₦ 7,300",56%,3.6 out of 5
"Amani 43” Smart Frameless Amani 4k Smart TV+Netflix,Youtube APP@free Gift Inside","₦ 258,760","₦ 223,990",13%,5 out of 5
"Infinity 32""INCHES SMART ANDROID TV + Free Wall Hanger","₦ 188,000","₦ 149,499",20%,5 out of 5
UFC 43” Inches 4k UHD ANDROID Smart TV Clear View, ,"₦ 219,290", ,4.4 out of 5
18650 Lithium Battery Charger 8 Slot Type,"₦ 17,000","₦ 9,000",47%,4.5 out of 5
Hisense Mini HiFi 50W Sound System (AUD 120HA) -Black,"₦ 122,050","₦ 118,500",3%,4.2 out of 5
Gotv LATEST Decoder Replacement Remote (Exactly In The Picture), ,"₦ 2,599", ,4.6 out of 5
Rechargeable AA Battery  +  Charger, ,"₦ 8,499", ,3.7 out of 5
Baofeng Security  Walkie Talkie Radio With Earpiece (4pcs),"₦ 70,000","₦ 58,000",17%,4.6 out of 5
Blue Gate BLUEGATE UPS REPLACEMENT BATTERY 12V/7A,"₦ 25,000","₦ 21,999",12%,4.3 out of 5
LG Bluetooth Home Theatre System+free Gift Inside,"₦ 127,500","₦ 49,950",61%,4.7 out of 5
"Apple USB Fast Charging Cable For IPhone 7, 6, 5, 6s Plus , 8, X  Mobile Phone Charger Cord Adapter Data Cable","₦ 12,000","₦ 3,990",67%,3 out of 5
Anker Soundcore Flare 2 360° Sound IPX7 Waterproof,"₦ 90,999","₦ 85,999",5%,4.7 out of 5
Replacement Silicone Adjustable Watch Band Wrist Strap-Black,"₦ 3,841","₦ 2,555",33%,4.8 out of 5
"Adjustable/ Swivel TV Wall Bracket - 14-42""","₦ 9,178","₦ 8,400",8%,4.4 out of 5
Cctv Wireless Cctv Camera - Security Camera - Digital Camera,"₦ 28,000","₦ 14,999",46%,3.5 out of 5
Original  UHD HDMI 1x 4 Splitter, ,"₦ 10,000", ,3.3 out of 5
"Adjustable- TV Wall Hanger (26"" - 55"" Inches)","₦ 15,000","₦ 14,000",7%,4.4 out of 5
"Replacement Charger Cable For Vibrators, Dildo & Nail Drill","₦ 3,900","₦ 2,990",23%,4 out of 5
4K Night Vision HD WIFI Digital Camera Standard+Microphone,"₦ 152,829","₦ 106,980",30%,5 out of 5
Syinix Replacement Smart Remote Control For Syinix Tv, ,"₦ 4,750", ,4.7 out of 5
Strong 2040 Free To Air Satellite HD RECIEVER + IP,"₦ 29,000","₦ 24,000",17%, 
TV Console Floating Wall Shelve For 32 Inches TV, ,"₦ 42,000", ,4.4 out of 5
Fridge Guard And Fridge Guard Voltage Protection,"₦ 7,600 - ₦ 13,400","₦ 5,700 - ₦ 9,900",26%,3.9 out of 5
"Android 13.0 Smart Set Top Box, WiFi 6 BT5.0 8K 2+16G TV Box","₦ 89,000","₦ 47,000",47%,5 out of 5
Surge Protection Extension Socket,"₦ 18,000","₦ 9,900",45%,4.4 out of 5
P9 Headphone Wireless Bluetooth Stereo Foldable - Blue,"₦ 12,000","₦ 7,390",38%,5 out of 5
Marsriva Smart Mini DC UPS 10000mAh, ,"₦ 32,999", ,4.7 out of 5
Gotv Replacement Remote Control, ,"₦ 2,600", ,4.4 out of 5
100% Genuine Original With Warranty Portable Smart Android Tv Box/ Tv Stick,"₦ 100,000","₦ 44,000",56%, 
Hd Splitter HDMI Splitter 1X4 4 Port Full HD Hub,"₦ 15,000","₦ 13,990",7%,4.5 out of 5
6-Port USB 3-port AC Intelligent Surge Protect Power Socket,"₦ 15,000","₦ 13,000",13%,4.6 out of 5
Samsung 32 Inch Flat Slim LED / TV,"₦ 360,000","₦ 190,000",47%,5 out of 5
"Amani 32'' Inch Smart Android TV With Netflix,Youtube,","₦ 180,000 - ₦ 190,000","₦ 143,500 - ₦ 152,900",20%,4.5 out of 5
Smart Tv Box MXQ 4K TV Android Box+HDMI Cable,"₦ 39,000","₦ 35,000",10%,5 out of 5
"116plus smart watch heart rate and blood pressure monitor for men, women and children", ,"₦ 13,481", ,3.1 out of 5
"Super Charger For (AA, AAA, 9V, NiCD, NiMH) + AA Energizer Rechargeable Battery", ,"₦ 7,899", ,4.2 out of 5
LG TV Replacement Remote Control, ,"₦ 2,399", , 
Mini And Portable Live Show Beauty Artifact(Black),"₦ 8,300","₦ 4,000",52%, 
400W Photo/Studio Video Light Kit/3 Color Video Light,"₦ 76,900","₦ 55,500",28%,4.2 out of 5
Samsung Replacement Remote Control - Black,"₦ 4,500","₦ 2,500",44%,4.8 out of 5
400W Photo/Studio Video Light Kit/3 Color Video Light,"₦ 76,900","₦ 55,500",28%,4.2 out of 5
Samsung Replacement Remote Control - Black,"₦ 4,500","₦ 2,500",44%,4.8 out of 5
Hisense 55''Smart Frameless UHD 4K TV+free Wall Bracket,"₦ 698,800","₦ 555,900",20%,4.8 out of 5
Solar Powered Dual Lens Cctv 4G Simcard Rotational Camera,"₦ 200,000","₦ 150,000",25%, 
Amani 50”Inch Android Smart Full HD LED AMANI TV Promo Price,"₦ 1,270,000","₦ 333,490",74%,3.6 out of 5
P47 5.0 Wireless Bluetooth Stereo Foldable Headphone,"₦ 10,000","₦ 5,500",45%,3 out of 5
For Lg 32 Inches Full Hd Led Smart Tv 32lh604t Tv Anti Blue,"₦ 38,782","₦ 23,891",38%, 
Skyrun 3 Sockets 2 Metre Cord Power Strip Extension Box-White,"₦ 13,000","₦ 7,190",45%,4 out of 5
"Rock 43"" 4k UHD SMART ANDROID FRAMELESS LED TV-BLUETOOTH/NETFLIX","₦ 385,599","₦ 225,999",41%,3.9 out of 5
Upgraded HD Video Recording Spy Eyeglass Camera, ,"₦ 100,000", , 
Converter Travel Socket Charger Plug With USB,"₦ 8,167","₦ 3,900",52%,4 out of 5
Bluetooth Home Theater,"₦ 54,000","₦ 44,950",17%,4.8 out of 5
Polystar .1 Bluetooth HDMI Tallboy Home Theatre  - PV-HT735T4,"₦ 140,000","₦ 129,000",8%,3.8 out of 5
"Wireless Bluetooth Adapter, 5.3 Audio Receiver Transceiver","₦ 23,590","₦ 12,950",45%, 
Duravolt 2KVA Wall Mount Automatic Voltage Stabilizer (DV 2000i),"₦ 99,199","₦ 56,000",44%,4.2 out of 5
Oraimo FireFly 2U 12W Wall Charger Kit Type-C,"₦ 8,000","₦ 5,500",31%,3 out of 5
STONE-TECH TV Fridge Surge Protector 13A With Indicator Light +Free Pen,"₦ 7,000","₦ 5,500",21%,5 out of 5
Tripod Stand Adjustable Phone Live Streaming Stand Holder,"₦ 14,998","₦ 10,787",28%,1.5 out of 5
A11 Outdoor/Indoor Home Theatre Bluetooth Fm Loudspeaker,"₦ 118,000","₦ 24,890",79%,3.4 out of 5
X6 Portable Ultra Mini High Denifition Digital Camera Mini,"₦ 30,650","₦ 16,130",47%, 
USB Dongle Bluetooth USB Dongle Bluetooth Audio Receiver,"₦ 9,500","₦ 3,500",63%,4.1 out of 5
2000watts Solar Power Inverter, ,"₦ 40,900", ,4.1 out of 5
BT30 ENC Noise Canceling Wireless Bluetooth Earbuds HiFi Stereo Headphones,"₦ 12,699","₦ 7,344",42%,3.3 out of 5
